117,K5,,10000000,60000000,5,0
118,K6,,10000000,60000000,5,0
119,K7,,10000000,60000000,5,0
120,latitude,,1000000,1000000,5,1
121,longitude,,1000000,1000000,5,1
122,fix quality,,10000000,60000000,5,0
123,satellites number,,1000000,1000000,5,1
124,HDOP,,10000000,60000000,5,0
125,altitude,,10000000,60000000,5,0
126,height of geoid above WGS84 ellipsoid,,10000000,60000000,5,0
127,o3,ppbv,1000000,1000000,6,1
128,cell temperature,Celsius,1000000,1000000,6,0
129,cell pressure,mbar,1000000,1000000,6,0
130,cell A flow,cc/min,1000000,1000000,6,0
131,cell B flow,cc/min,1000000,1000000,6,0
132,ScrT,Celsius,1000000,1000000,6,0
133,no2,ppbv,1000000,1000000,7,1
134,loss,M/m,1000000,1000000,7,0
135,pressure,torr,1000000,1000000,7,0
136,temperature,K,1000000,1000000,7,0
137,signal level,,1000000,1000000,7,0
138,calibration,,1000000,1000000,7,0
139,last baseline,M/m,1000000,1000000,7,0
140,pm,ug/m^3,1000000,1000000,8,1
141,temperature,Celsius,1000000,1000000,8,1
142,RH,%,1000000,1000000,8,1
143,pressure,mmHg,1000000,1000000,8,1
144,latitude,degrees N,1000000,1000000,9,1
145,longitude,degrees E,1000000,1000000,9,1
146,altitude,m,1000000,1000000,9,1
147,speed,km/h,1000000,1000000,9,1
148,travel angle,degrees tr,1000000,1000000,9,1
149,visible satellites,,1000000,1000000,9,1
150,tracking satellites,,1000000,1000000,9,1
151,dilution,,1000000,1000000,9,1
152,horizontal dilution,,1000000,1000000,9,1
153,vertical dilution,,1000000,1000000,9,1
154,horizontal accuracy,m,1000000,1000000,9,1
155,vertical accuracy,,1000000,1000000,9,1
156,quality,,1000000,1000000,9,1
157,status,ascii,1000000,1000000,9,1
158,type,,1000000,1000000,9,1
